"branchIDLast10Digits","totalTransactionAmount"
"db828e67f6","1028.51"
"0cad1e613c","966.04"
"9ab079b917","998.90"
"230551cd8c","806.49"
"09eb741e5b","806.47"
"e56c820825","945.29"
"9698eb6abf","1017.37"
"60cd15cab3","694.41"
"f7819d2cc0","785.36"
"","N.aN"
"d88b30cf39","979.99"
"57e7d69a5a","1052.29"
"b6c93eb385","904.55"
"c14face820","1099.25"
"3d23a21e00","987.69"
"6b51a8fac4","961.03"
"b1458c47e0","877.22"
"5e7f69eaa0","758.28"
"3c3d2cd6ce","843.59"
"910a5e61d9","791.43"
"bac61cbcab","801.84"
"d2d25f4f8e","882.03"
"fead047955","1014.40"
"f78c321d65","813.73"
"e67695f30c","788.05"
"6b0eabec86","905.79"
"8c382437d8","819.03"
"29878dabe2","931.37"
"0a3396c148","861.98"
"8355184435","836.53"
"e3e453bfca","811.68"
